"Country Name","2023","2022","2021","2020","2019"
"Luxembourg","$128,259","$125,006","$133,712","$116,905","$112,726"
"Ireland","$103,685","$103,983","$102,002","$85,973","$80,848"
"Switzerland","$99,995","$93,260","$93,446","$85,898","$84,122"
"Norway","$87,962","$108,798","$93,073","$68,340","$76,431"
"Singapore","$84,734","$88,429","$79,601","$61,467","$66,082"
"United States","$81,695","$77,247","$71,056","$64,317","$65,548"
"Iceland","$78,811","$75,135","$69,252","$59,024","$68,452"
"Denmark","$67,967","$67,790","$69,269","$60,837","$59,593"
"Macao","$66,835","$35,193","$45,105","$37,475","$82,999"
"Australia","$64,712","$65,078","$60,697","$51,868","$55,050"
"Netherlands","$62,537","$57,025","$58,728","$52,163","$52,476"
"Austria","$56,506","$52,085","$53,518","$48,789","$50,068"
"Sweden","$56,305","$56,300","$61,418","$52,838","$51,939"
"Finland","$53,756","$50,735","$53,505","$49,170","$48,630"
"Belgium","$53,475","$49,942","$51,864","$45,588","$46,642"
"Canada","$53,372","$55,509","$52,497","$43,538","$46,353"
"UAE","$52,977","$53,708","$44,332","$37,629","$45,376"
"Germany","$52,746","$48,718","$51,427","$46,749","$46,805"
"Israel","$52,262","$54,931","$52,130","$44,847","$44,452"
"Hong Kong","$50,697","$48,828","$49,771","$46,109","$48,359"
"United Kingdom","$48,867","$45,564","$46,870","$40,217","$42,663"
"New Zealand","$48,528","$48,217","$49,624","$41,786","$42,747"
"Andorra","$46,545","$42,351","$42,066","$37,207","$41,329"
"France","$44,461","$40,886","$43,671","$39,180","$40,495"
"Sint Maarten (Dutch Part)","$39,433","$37,593","$33,238","$30,643","$35,509"
"Italy","$38,373","$35,069","$36,441","$31,923","$33,674"
"Malta","$37,882","$34,563","$34,952","$29,593","$31,751"
"Kuwait","$37,533","$42,824","$33,358","$24,656","$31,230"
"Puerto Rico","$36,779","$35,268","$32,619","$31,427","$32,917"
"Bahamas","$34,750","$32,041","$27,871","$24,499","$32,174"
"Cyprus","$34,701","$32,048","$32,746","$28,281","$29,420"
"Japan","$33,834","$34,017","$40,059","$40,041","$40,416"
"Brunei","$33,431","$37,152","$31,449","$27,179","$30,748"
"South Korea","$33,121","$32,395","$35,126","$31,721","$31,902"
"Spain","$32,677","$29,675","$30,489","$26,984","$29,582"
"Slovenia","$32,164","$28,439","$29,331","$25,558","$26,042"
"Turks And Caicos Islands","$30,438","$26,887","$23,181","$17,496","$27,328"
"Czech Republic","$30,427","$27,227","$26,823","$22,993","$23,665"
"Estonia","$29,824","$28,114","$27,698","$23,565","$23,582"
"Bahrain","$29,084","$30,147","$26,850","$23,433","$25,869"
"Saudi Arabia","$28,895","$30,448","$24,316","$20,398","$23,406"
"Portugal","$27,275","$24,515","$24,661","$22,242","$23,331"
"Lithuania","$27,103","$25,079","$23,850","$20,382","$19,616"
"Slovak Republic","$24,470","$21,279","$21,766","$19,553","$19,382"
"Oman","$23,295","$25,057","$19,509","$16,708","$19,132"
"Latvia","$23,184","$21,508","$20,930","$18,096","$17,883"
"Greece","$22,990","$20,867","$20,311","$17,617","$19,144"
"Barbados","$22,673","$20,738","$17,586","$17,028","$19,156"
"Uruguay","$22,565","$20,499","$17,734","$15,651","$18,149"
"St. Kitts And Nevis","$22,553","$20,594","$18,036","$18,553","$23,220"
"Hungary","$22,147","$18,356","$18,755","$16,132","$16,786"
"Poland","$22,113","$18,732","$18,050","$15,817","$15,700"
"Antigua And Barbuda","$21,560","$19,920","$17,179","$15,225","$18,730"
"Croatia","$21,460","$18,673","$17,943","$14,384","$15,219"
"Guyana","$20,626","$18,199","$9,995","$6,863","$6,477"
"Panama","$18,662","$17,358","$15,491","$13,293","$16,473"
"Romania","$18,419","$15,692","$14,947","$13,047","$12,958"
"Trinidad And Tobago","$18,333","$19,629","$16,056","$13,706","$15,642"
"Seychelles","$17,879","$17,167","$14,983","$14,041","$19,142"
"Chile","$17,093","$15,411","$16,186","$13,163","$14,616"
"Costa Rica","$16,595","$13,365","$12,604","$12,179","$12,669"
"Bulgaria","$15,798","$13,974","$12,219","$10,148","$9,874"
"Palau","$14,565","$13,422","$12,753","$14,533","$15,731"
"St. Lucia","$13,980","$13,031","$10,213","$8,357","$11,715"
"Mexico","$13,926","$11,477","$10,363","$8,896","$10,435"
"Russia","$13,817","$15,445","$12,522","$10,108","$11,448"
"Argentina","$13,731","$13,651","$10,651","$8,501","$9,964"
"Kazakhstan","$13,137","$11,484","$10,271","$9,122","$9,813"
"Turkey","$12,986","$10,675","$9,743","$8,639","$9,215"
"Maldives","$12,667","$11,781","$10,076","$7,217","$11,350"
"China","$12,614","$12,663","$12,618","$10,409","$10,144"
"Nauru","$12,060","$12,143","$14,019","$10,125","$10,317"
"Montenegro","$12,017","$10,093","$9,466","$7,677","$8,910"
"Malaysia","$11,649","$11,993","$11,135","$10,164","$11,132"
"Mauritius","$11,417","$10,240","$9,069","$9,011","$11,403"
"Serbia","$11,361","$9,538","$9,233","$7,734","$7,417"
"Dominican Republic","$10,716","$10,111","$8,477","$7,168","$8,173"
"Grenada","$10,464","$9,762","$9,011","$8,438","$9,888"
"St. Vincent And The Grenadines","$10,279","$9,298","$8,360","$8,306","$8,680"
"Brazil","$10,044","$9,065","$7,795","$6,924","$8,845"
"Turkmenistan","$9,191","$8,793","$7,885","$7,330","$7,345"
"Dominica","$8,954","$8,347","$7,668","$7,003","$8,562"
"Armenia","$8,716","$7,018","$4,973","$4,506","$4,829"
"Bosnia","$8,426","$7,588","$7,237","$6,095","$6,095"
"Gabon","$8,420","$8,820","$8,636","$6,680","$7,524"
"Albania","$8,368","$6,810","$6,377","$5,343","$5,396"
