country,SuicideRate_BothSexes_RatePer100k_2021,SuicideRate_Male_RatePer100k_2021,SuicideRate_Female_RatePer100k_2021
Greenland,59.62,86.96,29.4
Guyana,31.26,52.79,10.31
Lithuania,27.91,49.96,9.07
South Korea,25.81,36.96,14.58
Russia,24.1,41.82,8.66
Suriname,23.6,37.42,10.13
Nauru,23.55,35.11,11.79
Ukraine,23.17,41.4,7.43
Uruguay,21.31,36.61,7.23
Lesotho,20.57,32.55,9.27
Belarus,20.44,35.68,7.16
Micronesia,20.17,30.72,9.2
Marshall Islands,20.04,29.01,10.65
Latvia,19.42,34.67,6.39
Eswatini,18.42,31.17,6.16
Solomon Islands,18.27,27.24,8.94
Kazakhstan,18.2,30.96,6.19
Zimbabwe,17.61,26.57,9.32
Japan,17.47,25.2,10.12
Belgium,17.3,25.49,9.36
Kiribati,17.29,30.08,5.02
Slovenia,17.12,28.01,6.37
Guam,17.08,29.13,4.71
Hungary,16.91,26.39,8.27
Tuvalu,16.49,23.79,8.56
Vanuatu,16.31,25.01,7.45
Sri Lanka,16.27,26.45,6.78
Taiwan,16.04,21.9,10.29
Serbia,15.91,23.78,8.07
Cuba,15.83,25.07,6.71
Tokelau,15.83,19.54,11.97
Finland,15.67,23.96,7.58
Northern Mariana Islands,15.59,24.66,5.55
Niue,15.59,20.62,10.51
Montenegro,15.45,23.77,7.33
Monaco,15.42,21.33,9.84
South Africa,15.3,25.55,5.46
United States,15.25,24.13,6.66
Estonia,15.19,25.66,5.83
Poland,15.15,27.27,3.79
Cape Verde,15.06,25.66,4.28
Palau,14.99,17.12,12.39
Moldova,14.92,26.48,4.41
Mongolia,14.59,25.68,3.77
Austria,14.34,22.34,6.55
Croatia,14.31,22.31,6.76
Trinidad and Tobago,13.82,23.21,4.4
France,13.72,22.01,5.92
India,13.33,15.7,10.85
Bulgaria,13.3,20.72,6.34
Nepal,13.07,18.26,8.37
Australia,12.86,19.8,6.08
Czech Republic,12.56,20.54,4.82
Canada,12.51,19.43,5.77
Iceland,12.49,19.64,5.13
Slovakia,12.34,21.31,3.79
Sweden,12.32,16.76,7.82
Germany,12.31,18.9,5.77
Samoa,12.18,17.11,6.95
Thailand,12,20.1,4.44
Switzerland,11.72,17.43,6.03
Norway,11.68,16.4,6.86
Central African Republic,11.64,18.72,4.83
Portugal,11.62,18.25,5.63
Namibia,11.57,20.03,3.61
New Zealand,11.31,16.97,5.67
Denmark,11.27,16.26,6.33
Netherlands,11.23,15.24,7.28
Mauritius,10.96,18.01,4.09
North Korea,10.88,12.25,9.52
Romania,10.76,18.54,3.4
Bosnia and Herzegovina,10.7,17.41,4.29
Chile,10.61,17.78,3.66
Argentina,10.47,17.29,3.99
Costa Rica,9.85,17.37,2.83
Turkmenistan,9.72,14.57,4.65
Botswana,9.72,15.73,3.84
Gabon,9.67,16.72,3.12
Eritrea,9.66,14.19,4.99
Republic of the Congo,9.57,14.47,4.72
Mozambique,9.28,15.86,3.17
Kyrgyzstan,9.25,14.71,3.92
China,9.17,10.64,7.63
Cook Islands,9.17,14.39,3.95
Luxembourg,9.02,13.24,4.74
Uzbekistan,8.96,12.29,5.65
Fiji,8.89,12.25,5.45
Georgia,8.64,14.57,3.18
Ecuador,8.51,13.53,3.54
Guinea-Bissau,8.49,12.74,4.44
United Kingdom,8.47,13.18,3.93
Ireland,8.41,13.7,3.24
El Salvador,8.32,13.31,3.92
Malawi,8.31,13.84,3.05
Zambia,8.16,13.42,2.99
DR Congo,8.12,12.39,3.77
Venezuela,8.11,14.2,2.41
American Samoa,8.04,11.97,3.93
South Sudan,8.03,12.19,3.84
Vietnam,8.01,10.97,5.07
North Macedonia,7.91,11.08,4.64
Andorra,7.89,12.22,3.31
Togo,7.88,12.41,3.54
Saudi Arabia,7.87,10.95,3.55
Brazil,7.78,12.47,3.3
Singapore,7.75,10.19,5.21
Spain,7.73,11.86,3.78
San Marino,7.59,12.19,3.28
Senegal,7.58,11.87,3.25
Rwanda,7.36,11.13,3.79
Haiti,7.18,10.28,4.2
Cameroon,7.16,11.35,2.97
Burundi,7.13,10.94,3.3
Puerto Rico,7.1,12.68,2.05
Ivory Coast,7.05,11.52,2.28
United States Virgin Islands,7.02,12.76,1.6
Angola,6.95,11.28,2.87
Equatorial Guinea,6.89,10.29,2.85
Mexico,6.84,11.51,2.38
Kenya,6.82,10.53,3.16
Saint Lucia,6.77,12.36,1.17
Colombia,6.74,11.09,2.57
Liberia,6.66,9.37,3.86
Burkina Faso,6.56,10.43,2.93
Italy,6.44,10.37,2.72
Madagascar,6.31,9.05,3.64
Comoros,6.3,7.82,4.79
Saint Vincent and the Grenadines,6.19,11.19,0.97
Ethiopia,6.17,9.4,2.88
Uganda,5.84,9.79,2.01
Pakistan,5.82,8.46,3.05
Paraguay,5.8,8.63,2.91
Somalia,5.78,7.11,4.39
Seychelles,5.77,9.92,1.13
Bhutan,5.75,7.57,3.79
Nicaragua,5.72,8.91,2.6
