ภูมิภาค,จังหวัด,ต.ค. 63,พ.ย.-63,ธ.ค. 63,ม.ค. 64,ก.พ.-64,มี.ค. 64,เม.ย. 64,พ.ค. 64,มิ.ย. 64,ก.ค. 64,ส.ค. 64,ก.ย. 64,Mean
ภาคเหนือ,เชียงราย,26.5,24.5,23.3,22.5,23.4,26.6,29.3,31.2,28.6,27.9,26.6,27.3,26.48
ภาคเหนือ,พะเยา,26.5,24.6,23.5,23,24.7,28.5,31.5,31.1,29.7,28.2,26.8,27,27.09
ภาคเหนือ,แม่ฮ่องสอน,26.9,25.9,23.9,22.1,23.5,27.9,33.2,30.8,29.8,28.3,27.5,27.7,27.29
ภาคอีสาน,เลย,26.8,25.1,23.9,23.6,26.5,27.8,31.4,30.7,29.3,28.2,27.4,27.2,27.33
ภาคอีสาน,หนองบัวลำภู,26.8,25.1,23.9,23.6,26.5,27.8,31.4,30.7,29.3,28.6,27.4,27.2,27.36
ภาคอีสาน,สกลนคร,27.8,26.1,24.1,23.9,26.9,28.2,33.8,29.1,28.4,27.9,28.1,27.8,27.68
ภาคเหนือ,น่าน,27.6,26,24.3,23.8,25.9,28.9,31.9,31.2,30.4,28.4,27.7,27.8,27.83
ภาคอีสาน,นครพนม,27.7,26.4,24.2,24.5,27.1,28.4,33.6,29.6,28.6,28.1,28.2,27.6,27.83
ภาคเหนือ,ลำพูน,27,25.9,24.8,23.9,25.7,29.3,33.2,30.7,30.3,28.9,28.1,27.8,27.97
ภาคเหนือ,เชียงใหม่,27.3,26.7,25.2,24.1,25.9,29.1,32.5,30.9,29.8,28.6,27.9,27.8,27.98
ภาคเหนือ,ลำปาง,27.3,26.2,24.8,24.2,26.4,29.7,33.2,30.6,29.7,28,28.1,27.7,27.99
ภาคอีสาน,บุรีรัมย์,27.4,26.1,25.4,25.3,28.2,29.3,32.4,30.4,28.7,27.8,28,27.2,28.02
ภาคเหนือ,แพร่,27.5,26.3,25,24.2,26.4,29.4,33.5,30.6,29.6,28.9,28,27.7,28.09
ภาคอีสาน,ขอนแก่น,27.8,26.7,25.3,25.2,27.9,29.4,33.8,30,29.1,27.6,28.5,27.7,28.25
ภาคอีสาน,มุกดาหาร,27.8,26.4,24.5,24.5,27.5,29.1,34,30.9,29.8,28.6,28.8,27.7,28.30
ภาคอีสาน,บึงกาฬ,28.5,27,25.5,24.8,27.5,28.9,33.3,30.8,29.8,28.3,28.2,28.1,28.39
ภาคใต้,ปัตตานี,28,26.5,27.2,27.3,28,28.7,29.9,30.9,29.5,28.6,28.3,27.9,28.40
ภาคอีสาน,อุดรธานี,28,26.2,24.8,24.3,27.3,28.9,33.6,31.2,30.8,29.3,28.3,28.2,28.41
ภาคกลาง,กำแพงเพชร,28,27.4,26.3,26,28.4,30,32.8,29.6,28,27.4,28.5,28.7,28.43
ภาคใต้,นครศรีธรรมราช,27.9,26.5,26.9,27.2,27.6,28.5,30.3,30.9,30.3,28.6,28.4,28.4,28.46
ภาคใต้,ระนอง,27.1,26.7,27.7,28.2,28.6,29.6,31,30.5,29.2,28,27.8,27.1,28.46
ภาคอีสาน,หนองคาย,28.5,27,25.5,24.8,27.5,28.9,33.3,30.9,30.2,28.7,28.2,28.1,28.47
ภาคใต้,พังงา,27.2,27.1,27.6,27.8,28.3,29,30.2,31,30.3,29,27.6,27.1,28.52
ภาคใต้,สุราษฎร์ธานี,27.2,26.3,26.6,27.2,27.9,29,30.9,31.6,30.8,29.5,28.2,27.4,28.55
ภาคใต้,สตูล,27.8,27.2,28.3,28.7,29.5,30.1,30.4,29,28.6,27.7,28.1,27.2,28.55
ภาคอีสาน,กาฬสินธุ์,28.4,27,25.6,25.5,28.5,29.9,34.2,29.4,28.7,27.9,29.4,28.4,28.58
ภาคใต้,ยะลา,28.3,26.5,27.2,27.4,28,28.6,29.9,31.1,29.9,29.1,28.6,28.5,28.59
ภาคอีสาน,มหาสารคาม,28.3,27.1,25.6,25.3,27.9,29.7,34.4,29.9,29.1,28.7,29.2,28.3,28.63
ภาคใต้,ชุมพร,27.8,27,27,27.3,28.1,29.3,30.8,31,30.1,28.3,29,27.9,28.63
ภาคใต้,พัทลุง,27.7,26.8,27.8,28.1,29,29.7,31,30.8,29.8,28.3,27.5,27.1,28.63
ภาคใต้,นราธิวาส,28.3,26.5,27.2,27.4,28,28.6,29.9,31.5,30.3,29.1,28.6,28.5,28.66
ภาคกลาง,พิจิตร,27.9,27.3,26.5,25.9,27.9,30.1,32.3,30.6,29.4,28.8,28.9,28.7,28.69
ภาคกลาง,เพชรบูรณ์,27.6,27.2,26.7,26.2,28.4,30.1,32.9,30.6,29.3,29,28.4,28,28.70
ภาคตะวันออก,จันทบุรี,28.2,28,28.2,28.5,29,29.4,31.3,28.9,28.4,27.9,28.7,28.3,28.73
ภาคเหนือ,อุตรดิตถ์,28.3,27.8,26.7,25.6,27.8,30,33.3,30.3,29.3,28.4,28.8,28.6,28.74
ภาคอีสาน,ชัยภูมิ,28,27.1,26.1,26,28.9,30.5,33.8,29.9,29.1,28.8,28.9,28,28.76
ภาคอีสาน,ศรีสะเกษ,27.9,27,26,25.8,28.7,30.8,34.4,29.7,29,28.5,29.4,28,28.77
ภาคกลาง,สุโขทัย,27.9,27.3,26.5,25.9,27.9,30.1,32.3,30.7,30.3,28.9,28.9,28.7,28.78
ภาคตะวันออก,ตราด,27.6,28.2,28.6,28,28.8,29.2,30.8,30.3,29.2,28.7,28.3,27.7,28.78
ภาคตะวันตก,ราชบุรี,28.7,27.8,27.7,27.4,28.7,29.6,31.3,29,28.6,27.7,29.7,29.3,28.79
ภาคอีสาน,อำนาจเจริญ,27.9,27,26,25.8,28.7,30.8,34.4,30.1,29.2,28.2,29.4,28,28.79
ภาคกลาง,พิษณุโลก,27.9,27.3,26.5,25.9,27.9,30.1,32.3,31,30.3,29,28.9,28.7,28.82
ภาคใต้,ตรัง,27.7,26.8,27.8,28.1,29,29.7,31,31.6,30.8,29.5,27.5,27.1,28.88
ภาคใต้,กระบี่,27.8,27.2,28.1,28.3,29.2,29.6,30.6,31,30.3,29,27.9,27.8,28.90
ภาคใต้,สงขลา,28.4,27.2,28.1,28.3,28.7,29.4,30.6,30.7,29.3,28.6,29.1,28.5,28.91
ภาคตะวันตก,ตาก,27.5,26.8,25.6,25.4,28.5,31.4,34.2,30.3,30.3,29,29.3,28.6,28.91
ภาคกลาง,สมุทรสาคร,28.7,27.8,27.7,27.4,28.7,29.6,31.3,29.7,28.6,28.5,29.7,29.3,28.92
ภาคอีสาน,นครราชสีมา,27.9,26.8,26,26.3,29.3,30,33.2,30.7,30.3,28.9,29.2,28.5,28.93
ภาคตะวันออก,ระยอง,28.5,27.9,27.8,27.5,29.2,29.9,31.7,30.2,29,28.1,29.6,29,29.03
ภาคอีสาน,ร้อยเอ็ด,28.4,27,25.6,25.5,28.5,29.9,34.2,31.6,30.8,29.5,29.4,28.4,29.07
ภาคอีสาน,สุรินทร์,28,26.8,26.1,26.2,29.2,30.7,34.1,30.9,30.8,28.7,29,28.3,29.07
ภาคอีสาน,อุบลราชธานี,27.9,27,26,25.8,28.7,30.8,34.4,31.5,30.3,29.1,29.4,28,29.08
ภาคอีสาน,ยโสธร,27.9,27,26,25.8,28.7,30.8,34.4,31.2,30.8,29.3,29.4,28,29.11
ภาคตะวันตก,ประจวบคีรีขันธ์,28.7,28.1,27.6,27.2,28.4,29.7,31.6,30.7,30.3,28.9,29.9,28.8,29.16
ภาคตะวันตก,เพชรบุรี,28.7,27.8,27.7,27.4,28.7,29.6,31.3,30.7,30.3,28.9,29.7,29.3,29.18
ภาคกลาง,นครปฐม,28.7,27.8,27.7,27.4,28.7,29.6,31.3,30.8,30.1,29.4,29.7,29.3,29.21
ภาคกลาง,สมุทรสงคราม,28.7,27.8,27.7,27.4,28.7,29.6,31.3,31.2,30.8,29.3,29.7,29.3,29.29
ภาคกลาง,ลพบุรี,29,28.2,28,28,29.7,30.8,32.8,29.8,29.1,28.1,29.3,28.9,29.31
ภาคกลาง,นครสวรรค์,28.6,27.9,27.3,27,29.5,31.5,33.9,29.9,29.1,28.8,29.4,28.9,29.32
ภาคตะวันออก,ปราจีนบุรี,29.2,28.4,28.2,28.6,30.2,31,33.1,29.5,28.1,27.3,29.5,29,29.34
ภาคกลาง,อ่างทอง,29.2,27.9,27.5,27.7,29.5,31.1,32.9,30.5,29.6,27.8,29.9,29.5,29.43
ภาคกลาง,สุพรรณบุรี,29.2,27.9,27.5,27.7,29.5,31.1,32.9,30.7,29.1,28.2,29.9,29.5,29.43
ภาคตะวันออก,ฉะเชิงเทรา,29.2,28.4,28.2,28.6,30.2,31,33.1,29.6,28.6,28.1,29.5,29,29.46
ภาคกลาง,อุทัยธานี,28.6,27.9,27.3,27,29.5,31.5,33.9,31.1,30.2,28.4,29.4,28.9,29.48
ภาคกลาง,กรุงเทพมหานคร,29,28.7,28.9,29.3,29.8,30.7,32.4,29.3,28.8,28.3,30,29.1,29.53
ภาคกลาง,พระนครศรีอยุธยา,29.2,27.9,27.5,27.7,29.5,31.1,32.9,31,29.5,28.7,29.9,29.5,29.53
ภาคกลาง,สิงห์บุรี,29,28.2,28,28,29.7,30.8,32.8,30.9,30.2,28.7,29.3,28.9,29.54
ภาคตะวันออก,สระแก้ว,28.7,27.9,27.5,28,30.4,31,33.6,30.9,30.2,28.7,29.7,28.7,29.61
ภาคกลาง,สระบุรี,29,28.2,28,28,29.7,30.8,32.8,31.5,30.3,29.1,29.3,28.9,29.63
ภาคกลาง,ชัยนาท,28.6,27.9,27.3,27,29.5,31.5,33.9,31,31.2,29.5,29.4,28.9,29.64
ภาคตะวันตก,กาญจนบุรี,28.7,27.7,27.6,28.2,30.2,31.5,33.7,30.8,29.8,28.3,30,29.6,29.68
ภาคใต้,ภูเก็ต,28.6,28.5,29.2,29.7,30.9,31.3,32.1,30.9,29.8,28.6,28.6,28.2,29.70
ภาคตะวันออก,ชลบุรี,29.4,28.6,28.8,29.1,29.7,30.5,32.6,30.5,30,27.8,30.1,29.5,29.72
ภาคกลาง,นครนายก,29.2,28.4,28.2,28.6,30.2,31,33.1,31.5,29.5,29.2,29.5,29,29.78
ภาคกลาง,ปทุมธานี,29,28.7,28.9,29.3,29.8,30.7,32.4,31.1,30.2,28.4,30,29.1,29.80
ภาคกลาง,นนทบุรี,29,28.7,28.9,29.3,29.8,30.7,32.4,31.6,30.4,29.1,30,29.1,29.92
ภาคกลาง,สมุทรปราการ,29,28.7,28.9,29.3,29.8,30.7,32.4,31.2,30.8,29.3,30,29.1,29.93
